id,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,data_time,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,description_tokens, ,',+,",",-,.,/,2,[,],_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
2698,"Sr. Data Analyst, Marketing Operations",Cox Communications,"Maize, KS",via ZipRecruiter,"['18 hours ago', '77K to 116K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",18 hours ago,Full-time,,01:05.2,77K to 116K,a year,96500,77000,116000,,96500,96500,"['jira', 'tableau', 'microstrategy', 'sql']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
2699,Senior Data Analyst,Dice,Anywhere,via LinkedIn,"['7 hours ago', 'Work from home', 'Contractor']",7 hours ago,Contractor,True,01:05.2,,,,,,,,,"['looker', 'bigquery', 'sql']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
2700,Lead Data Analyst,EDWARD JONES,"Rolla, MO",via Jobs Market,"['21 hours ago', '106,916 to 182,047 a year', 'Full-time', 'Health insurance']",21 hours ago,Full-time,,01:05.2,106916 to 182047,a year,144481.5,106916,182047,,144481.5,144481.5,[],1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0
2701,"Sr. Data Analyst, Risk Adjustment",Vatica Health,United States,via SimplyHired,"['10 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",10 hours ago,Full-time,,01:05.2,,,,,,,,,"['power_bi', 'go', 'ssrs', 'sql', 'tableau', 't-sql']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2702,Data analyst resume,Upwork,Anywhere,via Upwork,"['9 hours ago', '40 to 70 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",9 hours ago,Contractor,True,01:05.2,40 to 70,an hour,55,40,70,55,,114400,[],1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0
2703,Senior Data Analyst,Eliassen Group,Anywhere,via LinkedIn,"['7 hours ago', 'Work from home', 'Contractor', 'Health insurance', 'Dental insurance']",7 hours ago,Contractor,True,01:05.2,,,,,,,,,"['crystal', 'sas', 'sql', 'r', 'python']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2704,Data Analyst - Now Hiring,"Belflex - Little Rock, AR","Little Rock, AR",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance']",20 hours ago,Full-time,,01:10.9,,,,,,,,,[],1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
2705,"Sr. Data Analyst, Marketing Operations",Cox Communications,"Oklahoma City, OK",via ZipRecruiter,"['18 hours ago', '77K to 116K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",18 hours ago,Full-time,,01:10.9,77K to 116K,a year,96500,77000,116000,,96500,96500,"['jira', 'tableau', 'microstrategy', 'sql']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2706,Sr. Business Data Analyst - EST & CST,TSYS Technologies,United States,via SimplyHired,"['9 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",9 hours ago,Full-time,,01:10.9,,,,,,,,,"['tableau', 'visio', 'powerpoint', 'power_bi', 'word', 'sql', 'power_bi', 'excel']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
2707,Lead Data Analyst,EDWARD JONES,"Springfield, MO",via CW39 Jobs,"['21 hours ago', '106,916 to 182,047 a year', 'Full-time', 'Health insurance']",21 hours ago,Full-time,,01:10.9,106916 to 182047,a year,144481.5,106916,182047,,144481.5,144481.5,[],1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2708,Data Analyst,NextGen | GTA: A Kelly Telecom Company,Anywhere,via LinkedIn,"['7 hours ago', '55 to 60 an hour', 'Work from home', 'Contractor', 'Health insurance', 'Dental insurance']",7 hours ago,Contractor,True,01:10.9,55 to 60,an hour,57.5,55,60,57.5,,119600,"['power_bi', 'excel', 'dax', 'sql', 'azure']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2709,Mission Command Data Management Analyst Jobs,Northrop Grumman,"Leavenworth, KS",via Clearance Jobs,"['6 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",6 hours ago,Full-time,,01:10.9,,,,,,,,,"['sharepoint', 'powerpoint', 'word', 'excel']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1
2710,Marketing Data Analyst,Russell Tobin,Anywhere,via LinkedIn,"['13 hours ago', '65 to 75 an hour', 'Work from home', 'Contractor']",13 hours ago,Contractor,True,01:10.9,65 to 75,an hour,70,65,75,70,,145600,"['power_bi', 'excel', 'tableau']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0
2711,Klaviyo Data Analyst for a Health Brand,Upwork,Anywhere,via Upwork,"['4 hours ago', '22 to 55 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",4 hours ago,Contractor,True,01:10.9,22 to 55,an hour,38.5,22,55,38.5,,80080,['word'],1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0
2712,"Sr. Data Analyst, Marketing Operations",Cox Communications,"Edmond, OK",via ZipRecruiter,"['18 hours ago', '77K to 116K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",18 hours ago,Full-time,,01:10.9,77K to 116K,a year,96500,77000,116000,,96500,96500,"['jira', 'tableau', 'microstrategy', 'sql']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2713,Sr. Data Analyst,Watershed Health,Anywhere,via LinkedIn,"['3 hours ago', 'Work from home', 'Full-time']",3 hours ago,Full-time,True,00:09.3,,,,,,,,,"['sql', 'tableau']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
2714,Data and Research Analyst,Mindful Philanthropy Inc.,United States,via SimplyHired,"['13 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",13 hours ago,Full-time,,00:09.3,,,,,,,,,['excel'],1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
2715,Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:09.3,,,,,,,,,"['sas', 'sql', 'r', 'python', 'aws']",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2716,"Data Analyst, Ecommerce and BigQuery (EU timezone only) - Contract...",Upwork,Anywhere,via Upwork,"['15 hours ago', '40 to 50 an hour', 'Work from home', 'Full-time', 'No degree mentioned']",15 hours ago,Full-time,True,00:09.3,40 to 50,an hour,45,40,50,45,,93600,['bigquery'],1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0
2717,Senior Auditor (Data Analytics),The Bank of New York Mellon Corporation,United States,via SimplyHired,"['11 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance']",11 hours ago,Full-time,,00:09.3,,,,,,,,,"['tableau', 'power_bi', 'sql', 'r', 'python']",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
2718,"Sr. Data Analyst, Business Intelligence",Cityblock Health,Anywhere,via LinkedIn,"['4 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,True,00:09.3,,,,,,,,,['sql'],1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
2719,"Sr. Data Analyst, Marketing Operations",Cox Communications,"Arcadia, OK",via ZipRecruiter,"['18 hours ago', '77K to 116K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",18 hours ago,Full-time,,00:09.3,77K to 116K,a year,96500,77000,116000,,96500,96500,"['jira', 'tableau', 'microstrategy', 'sql']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2720,"Analytics, Reporting Analyst",Quad,United States,via SimplyHired,"['9 hours ago', 'Full-time', 'Health insurance']",9 hours ago,Full-time,,00:09.3,,,,,,,,,"['tableau', 'sql', 'alteryx', 'excel']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
2721,Data Analyst - Intermediate,"Integrated Resources, Inc ( IRI )",Anywhere,via LinkedIn,"['11 hours ago', 'Work from home', 'Full-time', 'No degree mentioned']",11 hours ago,Full-time,True,00:09.3,,,,,,,,,[],1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0
2722,Data Analyst: Python Scripts For Competitor Pricing  - Contract to...,Upwork,Anywhere,via Upwork,"['17 hours ago', '80 to 150 an hour', 'Work from home', 'Full-time', 'No degree mentioned']",17 hours ago,Full-time,True,00:09.3,80 to 150,an hour,115,80,150,115,,239200,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2723,BI Reporting Analyst III,mroads,United States,via SimplyHired,"['13 hours ago', 'Full-time', 'No degree mentioned']",13 hours ago,Full-time,,00:10.7,,,,,,,,,"['spark', 'sql', 'tableau', 'python', 'pl/sql']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2724,Senior Data Analyst (Remote),XSELL Technologies,Anywhere,via LinkedIn,"['8 hours ago', 'Work from home', 'Full-time']",8 hours ago,Full-time,True,00:10.7,,,,,,,,,"['tableau', 'snowflake', 'powerpoint', 'word', 'sql', 'power_bi', 'excel', 'python']",1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0
2725,ServiceNow Systems Analyst,Intone Networks,United States,via SimplyHired,"['8 hours ago', 'Full-time', 'No degree mentioned']",8 hours ago,Full-time,,00:10.7,,,,,,,,,"['spreadsheet', 'power_bi']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
2726,Data Analyst,"Spatial Front, Inc",Anywhere,via LinkedIn,"['6 hours ago', '80K to 115K a year', 'Work from home', 'Full-time']",6 hours ago,Full-time,True,00:10.7,80K to 115K,a year,97500,80000,115000,,97500,97500,"['sql', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
2727,Data Analyst to build marketing dashboard,Upwork,Anywhere,via Upwork,"['11 hours ago', '45 to 55 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,True,00:10.7,45 to 55,an hour,50,45,55,50,,104000,['spreadsheet'],1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
2728,Senior Data Analyst,The Cadmus Group,Anywhere,via LinkedIn,"['12 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",12 hours ago,Full-time,True,00:10.7,,,,,,,,,"['jira', 'rshiny', 'tableau', 'github', 'azure', 'word', 'power_bi', 'excel', 'r', 'python', 'gitlab']",0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
2729,Sr. Business Intelligence Analyst II,Johns Hopkins University,United States,via SimplyHired,"['10 hours ago', 'Full-time']",10 hours ago,Full-time,,00:10.7,,,,,,,,,"['jira', 'tableau', 'javascript', 'html', 'sql', 'power_bi', 'pl/sql']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
2730,Fuel Market Analyst Intern (Summer 2023),Love's Truck Stops,"Oklahoma City, OK",via ZipRecruiter,"['21 hours ago', 'Full-time']",21 hours ago,Full-time,,00:10.7,,,,,,,,,"['powerpoint', 'excel']",1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
2731,Data Analyst - Healthcare Analytics,Analytic Recruiting Inc.,United States,via LinkedIn,"['9 hours ago', '76K to 95K a year', 'Full-time']",9 hours ago,Full-time,,00:10.7,76K to 95K,a year,85500,76000,95000,,85500,85500,[],1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0
2732,Data Warehouse Systems Analyst,Dataflix,United States,via SimplyHired,"['10 hours ago', 'Full-time', 'No degree mentioned']",10 hours ago,Full-time,,00:10.7,,,,,,,,,['sql'],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2733,Sr. Data Analyst,Sedgwick,Anywhere,via LinkedIn,"['21 hours ago', 'Work from home', 'Full-time']",21 hours ago,Full-time,True,00:12.0,,,,,,,,,[],0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2734,Data Analytics & Reporting for Public Transport,Upwork,Anywhere,via Upwork,"['9 hours ago', '10 to 20 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",9 hours ago,Contractor,True,00:12.0,10 to 20,an hour,15,10,20,15,,31200,['tableau'],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735,Senior Data Analyst,ExaTech Inc,United States,via LinkedIn,"['12 hours ago', 'Contractor']",12 hours ago,Contractor,,00:12.0,,,,,,,,,[],0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2736,"Data Analyst, Triose",AmerisourceBergen,Anywhere,via LinkedIn,"['7 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",7 hours ago,Full-time,True,00:12.0,,,,,,,,,"['sql', 'excel']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2737,Programmer Analyst,Upwork,Anywhere,via Upwork,"['13 hours ago', '40 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",13 hours ago,Contractor,True,00:12.0,40 to 45,an hour,42.5,40,45,42.5,,88400,"['crystal', 'c++', 'visual_basic']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
2738,Senior Data Analyst/Engineer - Data Warehouse Focus,Apex Systems,Anywhere,via LinkedIn,"['12 hours ago', 'Work from home', 'Contractor']",12 hours ago,Contractor,True,00:12.0,,,,,,,,,"['spark', 'sql', 'python']",1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0
2739,Tableau Developer/ Data Analyst,Modis,Anywhere,via LinkedIn,"['10 hours ago', '65 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",10 hours ago,Contractor,True,00:12.0,65,an hour,65,,,65,,135200,"['sql', 'tableau']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
2740,Excel Sheet made for behavior analysis,Upwork,Anywhere,via Upwork,"['12 hours ago', 'Work from home', 'Contractor']",12 hours ago,Contractor,True,00:12.0,,,,,,,,,['excel'],1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
2741,Remote | WFH - Senior Financial Data Analyst- Medical School...,Get It Recruit - Finance,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:12.0,,,,,,,,,"['crystal', 'excel', 'word', 'sql', 'visual_basic']",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2742,Sr. Big Data Analyst,Eliassen Group,Anywhere,via LinkedIn,"['6 hours ago', 'Work from home', 'Contractor', 'Health insurance', 'Dental insurance']",6 hours ago,Contractor,True,00:12.0,,,,,,,,,"['power_bi', 'sas', 'sql', 'r', 'hadoop', 'tableau', 'python', 'azure']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
2743,Product Data Analyst (Remote),Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:13.7,,,,,,,,,['jira'],1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
2744,Data Enablement Analyst I,GM Financial,Anywhere,via LinkedIn,"['8 hours ago', 'Work from home', 'Full-time', 'Health insurance']",8 hours ago,Full-time,True,00:13.7,,,,,,,,,"['azure', 'sql', 'aws']",0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2745,Broadband Funding and GIS/Data Analyst,"Conexon, LLC","Kansas City, MO",via LinkedIn,"['2 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",2 hours ago,Full-time,,00:13.7,,,,,,,,,"['postgresql', 'sql']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1
2746,Stategy Analyst (Data),Addison Group,"Tulsa, OK",via LinkedIn,"['5 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance']",5 hours ago,Full-time,,00:13.7,,,,,,,,,"['excel', 'sql']",1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
2747,Data Migration Analyst,Norwin Technologies,Anywhere,via LinkedIn,"['7 hours ago', 'Work from home', 'Contractor', 'No degree mentioned']",7 hours ago,Contractor,True,00:13.7,,,,,,,,,"['sql', 'ssis', 'azure', 'linux']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
2748,Data Analysts & Scientists and Machine Learning Engineers,Eliassen Group,Anywhere,via LinkedIn,"['14 hours ago', 'Work from home', 'Contractor']",14 hours ago,Contractor,True,00:13.7,,,,,,,,,"['sql', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
2749,Data & Reporting Analyst - Portfolio Management Operations,BECU,Anywhere,via LinkedIn,"['2 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",2 hours ago,Full-time,True,00:13.7,,,,,,,,,"['sas', 'sql']",1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
2750,Principal Data Analyst - Remote / Telecommute,Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:13.7,,,,,,,,,"['tableau', 'sas', 'snowflake', 'azure', 'power_bi', 'sql', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2751,Informatics Data Governance Analyst Lead,Florida Cancer Specialists & Research Institute,United States,via LinkedIn,"['4 hours ago', 'Full-time', 'Health insurance']",4 hours ago,Full-time,,00:13.7,,,,,,,,,"['outlook', 'powerpoint', 'word', 'sql', 'excel']",1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
2752,Lead / Data Visualization Specialist - 100% Remote,Piper Companies,Anywhere,via LinkedIn,"['12 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",12 hours ago,Full-time,True,00:13.7,,,,,,,,,"['crystal', 'power_bi', 'qlik', 'sql', 'sap', 'cognos', 'tableau', 'azure', 'pl/sql', 'power_bi']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
2753,"Data Scientist, Marketing",Ascendion,Anywhere,via LinkedIn,"['11 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",11 hours ago,Full-time,True,00:17.4,,,,,,,,,['sql'],1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
2754,Data Science Opportunities,VentureWell,Anywhere,via LinkedIn,"['4 hours ago', 'Work from home', 'Full-time']",4 hours ago,Full-time,True,00:17.4,,,,,,,,,[],0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2755,Data Analyst II *REMOTE*,Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:17.4,,,,,,,,,['sql'],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2756,Data Scientist (Remote),Dice,Anywhere,via LinkedIn,"['7 hours ago', 'Work from home', 'Contractor']",7 hours ago,Contractor,True,00:17.4,,,,,,,,,"['sas', 'sql', 'r', 'tableau', 'python', 'powerpoint']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2757,Data Quality Control Lead,Axelon Services Corporation,Anywhere,via LinkedIn,"['9 hours ago', 'Work from home', 'Contractor']",9 hours ago,Contractor,True,00:17.4,,,,,,,,,['excel'],1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
2758,Data Scientist,Atrium,Anywhere,via LinkedIn,"['9 hours ago', 'Work from home', 'Full-time']",9 hours ago,Full-time,True,00:17.4,,,,,,,,,"['tensorflow', 'azure', 'sql', 'java', 'r', 'python', 'aws']",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2759,Senior Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:17.4,,,,,,,,,"['sas', 'powerpoint', 'matlab', 'word', 'sql', 'spss', 'excel', 'r']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
2760,Senior Reporting and Data Analyst - Remote,Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time', 'Paid time off']",15 hours ago,Full-time,True,00:17.4,,,,,,,,,"['excel', 'c']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
9442,Senior Data Analyst,Humana,"Overland Park, KS",via BeBee,"['10 hours ago', 'Full-time']",10 hours ago,Full-time,,00:10.0,,,,,,,,,"['power_bi', 'excel', 'java', 'word', 'sas', 'c', 'r', 'python', 'scala', 'azure', 'powerpoint']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2761,Customer Insights Data Analyst,WelcomeHome Software,United States,via LinkedIn,"['12 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",12 hours ago,Full-time,,00:17.4,,,,,,,,,"['excel', 'sql', 'tableau', 'power_bi']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0
2762,Ad Ops Data Analyst,AdMedia.,Anywhere,via LinkedIn,"['12 hours ago', 'Work from home', 'Full-time', 'Health insurance', 'Paid time off']",12 hours ago,Full-time,True,00:17.4,,,,,,,,,"['excel', 'python']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0
2763,Informatics Quality Assurance Data Analyst,Florida Cancer Specialists & Research Institute,United States,via LinkedIn,"['2 hours ago', 'Full-time']",2 hours ago,Full-time,,00:20.8,,,,,,,,,"['outlook', 'power_bi', 'excel', 'jira', 'word', 'sql', 'azure']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
2764,Data Analyst - REMOTE (Enterprise and Finance Analytics),Talentify.io,Anywhere,via LinkedIn,"['15 hours ago', 'Work from home', 'Full-time']",15 hours ago,Full-time,True,00:20.8,,,,,,,,,"['power_bi', 'excel', 'jira', 'sql', 'r', 'python', 'vba', 'powerpoint']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
